CompanyID,CompanyName,Idea,Sector,SubSector,BusinessModel,FundingStage,FundingRaisedUSD_millions,MonthlyRevenueUSD_thousands,MonthlyBurnUSD_thousands,MonthlyGrowthPercent,TeamSize,FoundersAvgExperienceYears,MarketSizeUSD_billions,TAMGrowthPercent,ProductDifferentiationScore,CompetitiveMoatScore,RegulatoryRiskScore,LocationCountry,RiskScore
294,VertexMobility,Supply Chain solution in the Agritech space,Agritech,Supply Chain,B2C Subscription,Series A,13.32,358.99,440.49,9.69,54,7,45.21,13.36,7,3,8,Israel,62.23
295,NimbusRobotics,Workforce Upskilling solution in the EdTech space,EdTech,Workforce Upskilling,B2C Subscription,Pre-Seed,3.78,5.67,33.54,32.29,7,2.1,49.15,13.81,8,10,1,Singapore,36.03
296,EpsilonNetworks,WealthTech solution in the FinTech space,FinTech,WealthTech,Hardware,Series C,32,888.09,959.67,8.93,249,6.9,120.19,14.99,9,8,7,Brazil,49.58
297,NimbusSolutions,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,B2B SaaS,Series A,13.18,369.42,424.05,18.83,47,7.5,102.95,8.52,4,5,1,Canada,47.63
298,ZetaFoods,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,Hybrid,Series A,23.86,195.79,321.18,12.13,44,6.6,145.47,3.45,8,9,9,India,55.1
299,OmicronCloud,Mobile Games solution in the Gaming space,Gaming,Mobile Games,Marketplace,Seed,2.2,137.53,144.23,8.7,24,2.9,155.01,5.08,1,8,9,Germany,66.66
300,LambdaRobotics,Network Security solution in the Cybersecurity space,Cybersecurity,Network Security,B2B SaaS,Seed,9.84,134.28,253.57,18.24,11,5.3,165.72,8.82,6,2,8,India,66.78
301,CoreEnergy,Wind solution in the CleanTech space,CleanTech,Wind,Freemium SaaS,Series A,11.3,337.25,394.97,14.36,63,9.2,64.87,13.03,7,3,10,UK,63.4
302,BetaComms,Wind solution in the CleanTech space,CleanTech,Wind,Marketplace,Seed,16.25,55.54,114.41,28.76,18,6.9,89.67,5.39,10,9,3,Singapore,36.22
303,CoreAI,Social Commerce solution in the E-commerce space,E-commerce,Social Commerce,Hybrid,Series C,121.18,976.68,1204.04,13.09,218,6.6,31.79,14.58,2,3,7,USA,72.06
304,EpsilonAnalytics,D2C solution in the E-commerce space,E-commerce,D2C,B2C Subscription,Series A,8.02,304.26,215.56,13.13,53,2.7,151.27,9.51,4,7,8,UK,61.16
305,VertexLogistics,Game Engines solution in the Gaming space,Gaming,Game Engines,Hardware,Pre-Seed,3.46,137.37,211.45,17.63,8,4.5,59.01,8.41,2,7,9,Canada,66.58
306,NimbusBiotech,Autonomous Systems solution in the AI/ML space,AI/ML,Autonomous Systems,Hybrid,Pre-Seed,29.08,89.02,25.58,7.91,12,3.5,4.14,12.75,2,8,6,India,58.58
307,ThetaFinance,Supply Chain solution in the Agritech space,Agritech,Supply Chain,B2C Subscription,Seed,6.7,104.67,69.09,44.12,16,7,8.42,10.56,6,5,6,Israel,50.84
308,CoreGaming,Esports solution in the Gaming space,Gaming,Esports,Marketplace,Series B,88.38,552.4,666.75,17.58,113,3.5,164.11,14.79,1,1,2,Brazil,65.05
309,ZetaFoods,Payments solution in the FinTech space,FinTech,Payments,Hardware,Pre-Seed,1.61,6.98,0,38.88,9,2.8,43.39,3.1,7,4,3,Canada,48.51
310,GammaEnergy,Test Prep solution in the EdTech space,EdTech,Test Prep,Marketplace,Pre-Seed,16.96,0,0,15.49,11,5.1,96.17,7.3,3,1,7,Canada,67.63
311,GammaSystems,Carbon Capture solution in the CleanTech space,CleanTech,Carbon Capture,B2B SaaS,Pre-Seed,10.62,0.89,4.02,24.47,7,5.4,81.84,12.84,2,3,10,Germany,71.1
312,AlphaTech,Supply Chain solution in the Agritech space,Agritech,Supply Chain,Freemium SaaS,Seed,1.43,121.27,205.39,6.28,13,2.6,83.81,10.79,2,7,3,Brazil,57.45
313,ApexLabs,Digital Pharmacy solution in the HealthTech space,HealthTech,Digital Pharmacy,Freemium SaaS,Series B,35.01,610.22,672.16,11.04,107,5.8,35.3,13.43,2,6,6,Canada,61.4
314,EpsilonDynamics,Language Learning solution in the EdTech space,EdTech,Language Learning,B2B SaaS,Seed,4.84,24.28,45.22,37.55,31,4,177.46,14.15,1,10,3,Brazil,48.37
315,EpsilonFinance,NLP solution in the AI/ML space,AI/ML,NLP,Hybrid,Series A,24.05,334.64,338.1,32.03,56,4.5,146.84,12.72,4,2,2,UK,53.53
316,QuantumFinance,Biotech solution in the HealthTech space,HealthTech,Biotech,Marketplace,Series A,86.01,311.7,361.61,27.01,49,6.3,183.18,5.27,4,5,2,Germany,49.57
317,AlphaRobotics,Ag Robotics solution in the Agritech space,Agritech,Ag Robotics,B2C Subscription,Seed,7.06,160.95,95.58,21.44,21,3.8,146.22,6.5,9,4,7,Canada,54.51
318,NimbusLogistics,Lending solution in the FinTech space,FinTech,Lending,B2B SaaS,Pre-Seed,10.34,102.09,151.69,18.7,7,5.2,187.83,4.36,10,2,9,USA,60.72
319,EpsilonLogistics,MLOps solution in the AI/ML space,AI/ML,MLOps,Hybrid,Seed,2.63,128.62,176.87,1.3,19,3.4,151.94,13.67,9,3,8,India,61.77
320,AlphaAI,Payments solution in the FinTech space,FinTech,Payments,B2C Subscription,Pre-Seed,2.81,40.29,10.56,30.49,5,7.3,47.83,13.29,1,7,9,Canada,62.48
321,VertexLogistics,Supply Chain solution in the Agritech space,Agritech,Supply Chain,B2B SaaS,Series A,17.97,336.98,308.91,28.18,46,2.5,194.81,9.07,9,10,3,Canada,37.81
322,GammaEdu,Wearables solution in the HealthTech space,HealthTech,Wearables,B2C Subscription,Series C,180.54,1047.58,1206.04,19.73,244,5.5,12.01,7.54,3,9,6,Australia,57.66
323,SigmaFinance,Mobile Games solution in the Gaming space,Gaming,Mobile Games,Freemium SaaS,Series C,77.15,1023.5,1192.82,7.88,225,7.7,18.54,4.74,4,1,4,India,64.02
324,PioneerMobility,Network Security solution in the Cybersecurity space,Cybersecurity,Network Security,Hybrid,Pre-Seed,5.5,0,0,9.61,7,0.7,73.49,7.31,3,2,1,UK,58.01
325,NimbusEnergy,Lending solution in the FinTech space,FinTech,Lending,Hybrid,Seed,5.41,107.9,124.65,15.84,23,1.4,177.45,13.64,5,3,6,UK,62.87
326,AlphaBiotech,Marketplace solution in the E-commerce space,E-commerce,Marketplace,Hardware,Seed,13.75,49.89,22.25,5.33,22,3,135.27,12.72,2,5,10,India,71.72
327,OrbitEnergy,Autonomous Vehicles solution in the Mobility space,Mobility,Autonomous Vehicles,B2B SaaS,Seed,3.06,83.46,61.14,33.31,22,5.8,173.49,5.76,10,3,6,UK,49.82
328,CoreSystems,Marketplace solution in the E-commerce space,E-commerce,Marketplace,B2C Subscription,Series A,86.81,414.08,466.01,-0.35,46,2.2,170.41,4.62,1,1,1,Germany,63.94
329,QuantumLogistics,WealthTech solution in the FinTech space,FinTech,WealthTech,B2C Subscription,Pre-Seed,8.57,71.27,96.64,32.79,6,5.3,52.1,13.25,1,9,7,Germany,57.51
330,VertexBiotech,NLP solution in the AI/ML space,AI/ML,NLP,Marketplace,Series B,30.59,577.34,737.54,24.02,123,9.4,115.92,7.58,10,6,2,Israel,40.35
331,LambdaEdu,Lending solution in the FinTech space,FinTech,Lending,B2B SaaS,Series C,113.79,961.71,1190.5,4.63,237,4.4,13.87,3.7,2,8,5,Canada,63.1
332,FusionFoods,Vision solution in the AI/ML space,AI/ML,Vision,B2B SaaS,Seed,13.04,153.64,200.64,17.14,28,0.5,94.14,2.18,5,10,5,Netherlands,51.82
333,QuantumComms,Carbon Capture solution in the CleanTech space,CleanTech,Carbon Capture,Hardware,Series C,47.06,983.91,1184.49,12.27,247,4.9,133.44,14.55,4,9,4,UK,54.62
334,AlphaAnalytics,WealthTech solution in the FinTech space,FinTech,WealthTech,Hybrid,Seed,3.68,181.11,314.89,12.27,13,4,69.51,13.92,1,6,1,Australia,56.29
335,ThetaEdu,Marketplace solution in the E-commerce space,E-commerce,Marketplace,B2C Subscription,Seed,3.15,86.02,53.34,30.37,20,4.2,135.92,10.84,1,3,5,India,62.81
336,OrbitFinance,Lending solution in the FinTech space,FinTech,Lending,Freemium SaaS,Series B,61.68,594.22,725.69,21.53,124,3.7,5.22,11.47,8,2,10,India,69.02
337,ApexLabs,Vertical Farming solution in the Agritech space,Agritech,Vertical Farming,Hybrid,Series A,51.01,237.72,186.76,22.09,41,4.5,81.6,11.48,7,3,4,Canada,52.42
338,ApexBiotech,Social Commerce solution in the E-commerce space,E-commerce,Social Commerce,Marketplace,Seed,9.3,81.12,111.18,7.02,21,2.5,18.84,9.14,4,2,4,UK,62.32
339,EpsilonSystems,Mobile Games solution in the Gaming space,Gaming,Mobile Games,B2C Subscription,Seed,22.98,20.56,0,14.05,13,3.9,107.31,13.36,6,7,2,Israel,45.17
340,PioneerRobotics,NLP solution in the AI/ML space,AI/ML,NLP,Hardware,Seed,9.21,71.9,137.01,11.82,22,0.7,64.42,3.73,2,2,3,Canada,65.25
341,ThetaBiotech,Mobile Games solution in the Gaming space,Gaming,Mobile Games,B2C Subscription,Pre-Seed,3.55,66.33,166.2,27.03,8,8.2,170.29,4.55,4,6,7,Israel,58.14
342,OmicronSolutions,InsurTech solution in the FinTech space,FinTech,InsurTech,B2B SaaS,Series C,24.24,997.3,1147.64,26.22,224,10.6,22.89,9.61,8,9,9,Germany,51.44
343,DeltaDynamics,Biotech solution in the HealthTech space,HealthTech,Biotech,B2B SaaS,Pre-Seed,2.14,62.9,130.67,24.75,8,2.4,128.91,8.06,4,3,4,Australia,60.26
344,CoreComms,Vision solution in the AI/ML space,AI/ML,Vision,Marketplace,Series B,162.87,629.94,709.92,-5.25,138,7.6,64.52,2.74,2,1,2,Germany,61.72
345,GammaBiotech,Ride-sharing solution in the Mobility space,Mobility,Ride-sharing,B2B SaaS,Pre-Seed,13.64,100.52,181.81,8.25,10,4.2,34.06,10.56,8,1,3,Netherlands,55.96
346,NimbusTech,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,Hardware,Series A,3.66,242.33,206.43,-2.94,53,3.3,130.35,2.8,3,6,4,UK,57.32
347,PioneerDynamics,Social Commerce solution in the E-commerce space,E-commerce,Social Commerce,B2B SaaS,Series A,27.67,306.55,363.99,3.05,52,2.6,27.11,7.09,10,4,5,Brazil,53.47
348,BetaLabs,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,Marketplace,Seed,3.26,125.3,113.95,41.65,26,6.4,70.41,12.44,7,4,9,Germany,57.53
349,ApexEnergy,Precision Farming solution in the Agritech space,Agritech,Precision Farming,Hardware,Seed,3.85,103.91,167.77,21.39,19,3.9,87.69,9.74,8,6,10,Israel,60.85
350,OmicronSolutions,Autonomous Systems solution in the AI/ML space,AI/ML,Autonomous Systems,B2B SaaS,Seed,6.96,125.28,224.79,42.71,34,3.2,144.97,2.52,4,1,5,USA,63.81
351,CoreAnalytics,Micro-mobility solution in the Mobility space,Mobility,Micro-mobility,B2C Subscription,Pre-Seed,10.47,0,34.1,21.26,8,3.7,129.5,6.95,4,5,9,USA,65.62
352,QuantumSolutions,Carbon Capture solution in the CleanTech space,CleanTech,Carbon Capture,B2C Subscription,Pre-Seed,3.14,56.58,38.42,17.66,8,5.6,165.53,10.21,6,6,10,USA,61.03
353,CoreNetworks,NLP solution in the AI/ML space,AI/ML,NLP,Hardware,Seed,10.73,167.31,226.88,19.02,20,5.1,115.18,4.4,3,8,1,India,46.56
354,SparkAnalytics,Lending solution in the FinTech space,FinTech,Lending,B2B SaaS,Seed,2.66,107.28,98.03,21.41,16,7.2,17.86,7.74,1,6,10,Germany,66.96
355,ZetaBiotech,Test Prep solution in the EdTech space,EdTech,Test Prep,B2B SaaS,Pre-Seed,5.42,29.32,11.3,7.45,6,2.5,16.09,9.46,10,3,2,Israel,46.88
356,QuantumLogistics,Vision solution in the AI/ML space,AI/ML,Vision,Hybrid,Pre-Seed,7.45,100.67,129.65,25.47,2,4.1,38.68,9.04,5,6,3,UK,49.75
357,NovaSolutions,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,Freemium SaaS,Series C,39.27,1006.6,1185.19,12.81,233,6.1,50.68,6.66,10,6,4,Netherlands,48.5
358,SigmaRobotics,Language Learning solution in the EdTech space,EdTech,Language Learning,B2C Subscription,Pre-Seed,3.16,98.89,13.39,31.54,5,6.8,21.49,14.44,1,10,7,Netherlands,54.25
359,SparkBiotech,Lending solution in the FinTech space,FinTech,Lending,Hybrid,Pre-Seed,25.13,83.25,53.67,4.02,8,2.2,156.92,14.9,10,2,8,UK,60.95
360,LambdaEnergy,Vision solution in the AI/ML space,AI/ML,Vision,Marketplace,Pre-Seed,2.59,75.14,72.75,15.04,12,5.2,139.03,3.82,2,6,8,USA,63.6
361,LambdaLabs,D2C solution in the E-commerce space,E-commerce,D2C,Marketplace,Seed,20.57,0,25.14,-4.93,22,2.8,134.51,8.29,2,1,1,Australia,61.65
362,ZetaFinance,Autonomous Vehicles solution in the Mobility space,Mobility,Autonomous Vehicles,Hardware,Series B,21.35,508.42,557.54,29.97,107,9.7,111.59,9.41,6,9,7,India,47.7
363,ZetaFoods,Ride-sharing solution in the Mobility space,Mobility,Ride-sharing,B2B SaaS,Series A,34.58,259.38,308.8,13.4,56,7.8,114.34,12.35,1,5,1,Singapore,52.29
364,GammaBiotech,Marketplace solution in the E-commerce space,E-commerce,Marketplace,B2C Subscription,Series B,23.06,634.35,834.55,3.88,112,5.9,120.66,8.68,3,2,9,India,76.69
365,AlphaFinance,Autonomous Systems solution in the AI/ML space,AI/ML,Autonomous Systems,Freemium SaaS,Pre-Seed,1.7,48.39,90.1,21.23,8,5.9,120.2,12.53,7,3,1,India,46.7
366,ThetaFinance,NLP solution in the AI/ML space,AI/ML,NLP,Freemium SaaS,Series A,23.29,377.94,431.59,16.44,42,7.7,41.33,5.21,9,5,5,Canada,48.19
367,BetaLogistics,Solar solution in the CleanTech space,CleanTech,Solar,Hybrid,Seed,11.22,8.26,0,38.63,21,1,58.09,7.2,8,3,1,Singapore,45.89
368,GammaRobotics,WealthTech solution in the FinTech space,FinTech,WealthTech,Freemium SaaS,Series A,21.66,366.85,499.35,13.93,51,8,136.46,14.11,8,4,2,USA,47.58
369,SigmaLabs,Wind solution in the CleanTech space,CleanTech,Wind,Hardware,Series B,91.8,581.8,684.33,19.51,110,6,135.63,5.11,5,7,8,Brazil,59.62
370,FusionLogistics,Marketplace solution in the E-commerce space,E-commerce,Marketplace,B2C Subscription,Seed,18.55,139.59,206.8,11.93,17,0.6,153.64,10.99,7,6,3,Brazil,51.87
371,PioneerFoods,InsurTech solution in the FinTech space,FinTech,InsurTech,Marketplace,Pre-Seed,6.85,70.85,104.12,11.79,9,2.3,157.11,13.82,5,10,1,UK,42.59
372,QuantumCloud,Telemedicine solution in the HealthTech space,HealthTech,Telemedicine,Hardware,Series C,32.77,1067.07,1245.85,-0.08,219,3.7,23.58,5.23,10,4,9,USA,64.6
373,FusionGaming,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,Hybrid,Series B,120.57,570.65,665.91,22.17,129,6.7,137.14,6.31,8,5,2,Australia,45.12
374,DeltaFoods,Lending solution in the FinTech space,FinTech,Lending,B2C Subscription,Series B,61.16,711.03,853.68,4.54,114,6.1,172.56,3.78,3,4,4,UK,61.75
375,GammaFinance,WealthTech solution in the FinTech space,FinTech,WealthTech,B2C Subscription,Series C,49.25,1017.03,1280.59,22.75,241,6.8,148.91,10.81,3,10,5,Singapore,56.03
376,ApexCloud,Telemedicine solution in the HealthTech space,HealthTech,Telemedicine,Hardware,Series A,11.27,327.67,374.83,12.96,58,9.6,35.32,12.87,5,9,8,USA,52.92
377,DeltaFinance,VR/AR Games solution in the Gaming space,Gaming,VR/AR Games,B2C Subscription,Pre-Seed,2.52,60.58,77.25,38.07,12,5.9,11.34,14.5,10,10,2,India,31.27
378,SigmaCloud,Mobile Games solution in the Gaming space,Gaming,Mobile Games,Marketplace,Series B,45.69,653.26,856.54,5.84,143,4.3,155.55,7.11,5,7,8,Netherlands,65.29
379,BetaSolutions,VR/AR Games solution in the Gaming space,Gaming,VR/AR Games,Marketplace,Seed,10.37,101.97,50.57,6.84,18,6,102.09,8.6,10,10,7,USA,43.82
380,LambdaHealth,Cloud Security solution in the Cybersecurity space,Cybersecurity,Cloud Security,Freemium SaaS,Seed,6.51,90.93,103.8,29.96,19,7.4,157.44,4.54,5,6,1,Singapore,42.34
381,OmicronGaming,Social Commerce solution in the E-commerce space,E-commerce,Social Commerce,Freemium SaaS,Series A,29.89,353.49,364.2,-8.16,45,2,120.02,14.94,4,3,5,Brazil,64.14
382,VertexMobility,MLOps solution in the AI/ML space,AI/ML,MLOps,Freemium SaaS,Pre-Seed,8.3,89.66,101.49,15.42,3,3.7,183.17,12.97,8,4,7,Brazil,57.04
383,BetaEdu,Ag Robotics solution in the Agritech space,Agritech,Ag Robotics,B2C Subscription,Pre-Seed,4.17,76.06,107.36,21.68,7,6.5,69.57,7.77,9,7,3,Israel,40.9
384,ZetaNetworks,Mobile Games solution in the Gaming space,Gaming,Mobile Games,B2C Subscription,Series B,38.15,605.17,828.31,17.77,129,6,108.6,14.9,4,1,8,USA,73.92
385,OmicronEnergy,NLP solution in the AI/ML space,AI/ML,NLP,Hardware,Seed,3.39,165.18,231.45,14.47,18,2.4,15.5,4.43,2,1,4,Singapore,67.24
386,ZetaGaming,Autonomous Vehicles solution in the Mobility space,Mobility,Autonomous Vehicles,Hybrid,Series A,10.94,211.45,277.32,-3.31,59,3.5,99.61,6.29,6,3,5,India,61.18
387,ApexHealth,Marketplace solution in the E-commerce space,E-commerce,Marketplace,B2C Subscription,Series B,48.41,583.67,648.28,3.28,108,6.6,26.52,2.92,4,4,4,Germany,57.66
388,OrbitTech,Subscription Box solution in the E-commerce space,E-commerce,Subscription Box,Freemium SaaS,Pre-Seed,3.64,59.05,136.02,25.86,9,3.2,58.27,5.76,3,3,10,USA,73.32
389,SparkRobotics,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,Freemium SaaS,Series C,17.98,919.99,1043.12,16.59,259,6.1,159.7,11.61,5,7,7,Singapore,58.46
390,ThetaFoods,Micro-mobility solution in the Mobility space,Mobility,Micro-mobility,Marketplace,Series A,4.16,250.31,321.38,6.44,47,6.2,9.88,5.56,10,7,10,India,56.34
391,FusionMobility,InsurTech solution in the FinTech space,FinTech,InsurTech,Hybrid,Seed,5.44,93.81,92.69,8.16,30,3.2,196.29,6.96,2,8,2,Singapore,50.78
392,OmicronAI,Social Commerce solution in the E-commerce space,E-commerce,Social Commerce,Freemium SaaS,Series A,24.91,266.49,378.37,3.24,53,7,15.67,6.35,5,4,3,Israel,55.28
393,SparkLogistics,Solar solution in the CleanTech space,CleanTech,Solar,Freemium SaaS,Seed,16.93,28.85,0,16.02,21,2.1,40.94,5.09,3,1,8,Canada,71.82
394,ApexLogistics,Subscription Box solution in the E-commerce space,E-commerce,Subscription Box,Freemium SaaS,Pre-Seed,5.76,98.94,50.14,36.09,8,5.7,137.41,2.33,10,4,6,Germany,48.12
395,QuantumEdu,Supply Chain solution in the Agritech space,Agritech,Supply Chain,Marketplace,Series B,22.47,657.35,795.96,9.22,111,4.9,182.34,2.08,9,3,5,India,56.56
396,OmicronCloud,Ride-sharing solution in the Mobility space,Mobility,Ride-sharing,B2C Subscription,Series B,44.2,546.94,654.05,19.73,110,5.6,110.24,13.5,6,2,4,Singapore,58.04
397,VertexBiotech,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,Marketplace,Seed,25.44,220.71,241.34,15.71,27,6.7,69.09,14.38,5,8,2,Brazil,43.52
398,NimbusNetworks,Payments solution in the FinTech space,FinTech,Payments,Hybrid,Pre-Seed,4.38,80.91,172.56,17.6,13,0.7,87.87,13.03,7,9,5,Australia,51.46
399,EpsilonNetworks,Lending solution in the FinTech space,FinTech,Lending,Marketplace,Seed,19.2,72.23,94.66,25.71,23,3.3,12.15,7.22,10,8,3,Singapore,39.63
400,NimbusBiotech,K-12 solution in the EdTech space,EdTech,K-12,Freemium SaaS,Series C,130.97,972.28,1263.74,7.58,256,8.6,150.38,9.09,6,1,1,Brazil,58.04
401,ZetaComms,D2C solution in the E-commerce space,E-commerce,D2C,B2C Subscription,Seed,4.38,53.47,58.34,36.65,19,4.1,142.04,5.28,2,3,10,Australia,70.91
402,VertexGaming,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,Hardware,Pre-Seed,15.79,0,0,27.53,11,1.6,179.68,3.55,9,4,6,USA,53.55
403,AlphaTech,NLP solution in the AI/ML space,AI/ML,NLP,Freemium SaaS,Series A,44.99,272.52,244.74,30.06,49,7.7,19.45,12.1,4,6,5,UK,51.22
404,OrbitComms,Biotech solution in the HealthTech space,HealthTech,Biotech,Marketplace,Pre-Seed,5.5,33.55,58.23,7.92,6,3.5,112.83,13.15,1,5,5,Brazil,63.32
405,VertexDynamics,Ag Robotics solution in the Agritech space,Agritech,Ag Robotics,Marketplace,Series C,30.41,1094.52,1315.89,22.69,238,4.8,61.95,8.92,8,6,4,UK,52.77
406,LambdaAnalytics,Network Security solution in the Cybersecurity space,Cybersecurity,Network Security,Freemium SaaS,Series C,73,1100.76,1385.44,11.03,255,3.8,146.07,13.99,4,1,10,Israel,82.09
407,QuantumHealth,K-12 solution in the EdTech space,EdTech,K-12,Hardware,Series B,81.86,672.37,835.25,4.5,124,12.3,68.22,8.75,5,9,10,USA,59.21
408,DeltaTech,Mobile Games solution in the Gaming space,Gaming,Mobile Games,B2B SaaS,Series A,8.18,327.66,365.78,34.23,49,4.5,112.52,6.51,7,8,7,India,50.85
409,NimbusDynamics,Ag Robotics solution in the Agritech space,Agritech,Ag Robotics,B2C Subscription,Series A,3.85,301.42,257.81,11.8,62,9.3,98.03,3.11,1,5,7,India,61.84
410,SparkMobility,Ag Robotics solution in the Agritech space,Agritech,Ag Robotics,Freemium SaaS,Pre-Seed,9.86,50.9,84.71,6.33,5,5.2,40.6,8.56,2,9,10,India,64.98
411,DeltaGaming,Marketplace solution in the E-commerce space,E-commerce,Marketplace,B2C Subscription,Series A,9.13,309.93,367.96,9.21,58,5,90.92,9.51,5,9,4,Singapore,49.07
412,ZetaHealth,Cloud Security solution in the Cybersecurity space,Cybersecurity,Cloud Security,Hybrid,Seed,6.89,7.41,48.07,13.21,18,3.4,153.79,14.56,4,8,6,Germany,56.35
413,GammaSystems,Payments solution in the FinTech space,FinTech,Payments,Hybrid,Series A,72.16,340.11,451.24,0.84,49,4.4,64.97,14.02,3,2,9,India,75.45
414,LambdaFoods,Wearables solution in the HealthTech space,HealthTech,Wearables,Marketplace,Seed,15.88,98.88,84.21,22.05,21,5.5,69.97,13.08,1,2,3,USA,60.17
415,NovaFinance,Social Commerce solution in the E-commerce space,E-commerce,Social Commerce,Freemium SaaS,Pre-Seed,12.94,190.73,223.66,23.93,10,4.5,28,6.03,1,1,3,UK,63.22
416,PioneerMobility,MLOps solution in the AI/ML space,AI/ML,MLOps,Marketplace,Series B,104.3,638.18,822.18,5.86,129,4.8,46.71,10.02,2,6,6,UK,66.33
417,ApexFoods,Biotech solution in the HealthTech space,HealthTech,Biotech,Marketplace,Series B,50.68,587.71,646.59,13.95,106,5.2,113.95,2.27,8,7,3,India,44.97
418,ZetaSystems,K-12 solution in the EdTech space,EdTech,K-12,Hardware,Series B,177.17,597.06,691.22,15.8,102,6.1,182.82,7.04,8,10,8,UK,50.67
419,QuantumMobility,VR/AR Games solution in the Gaming space,Gaming,VR/AR Games,B2B SaaS,Series B,47.28,608.09,738.06,19.17,116,4.2,140.76,11.95,3,8,8,India,63.33
420,BetaLabs,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,Marketplace,Series A,7.58,332.47,439.52,13.38,45,4.8,196.62,10.36,1,9,10,Netherlands,68.27
421,OrbitEdu,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,Freemium SaaS,Series A,52.97,275.34,383.15,13.13,44,4.8,122.43,7.78,2,7,4,Brazil,57.82
422,EpsilonCloud,Autonomous Systems solution in the AI/ML space,AI/ML,Autonomous Systems,Hybrid,Pre-Seed,22.98,7.97,47.06,18.55,6,3.4,32.05,9.77,3,9,8,Brazil,59.77
423,NimbusBiotech,K-12 solution in the EdTech space,EdTech,K-12,B2C Subscription,Seed,3.65,189.94,191.17,36.56,20,6.1,9.6,6.79,5,1,9,Germany,65.81
424,ApexAnalytics,Supply Chain solution in the Agritech space,Agritech,Supply Chain,B2B SaaS,Seed,20.44,97.2,133.54,28.91,23,4,159.97,13.24,10,8,2,Brazil,37.2
425,DeltaGaming,Micro-mobility solution in the Mobility space,Mobility,Micro-mobility,Freemium SaaS,Series A,5.96,168.46,221.57,14.05,54,5.9,15.61,9.15,2,7,7,USA,61.26
426,GammaMobility,Precision Farming solution in the Agritech space,Agritech,Precision Farming,Hybrid,Series A,49.51,349.51,408.56,20.27,51,5,194.43,8.66,9,9,4,Brazil,41.99
427,BetaAnalytics,MLOps solution in the AI/ML space,AI/ML,MLOps,Hardware,Seed,5.96,8.18,0,27.94,15,6,95.38,4.96,10,10,8,Singapore,43.71
428,DeltaAnalytics,EV solution in the Mobility space,Mobility,EV,B2B SaaS,Seed,4.18,75.79,42.64,18.25,19,5,196.77,2.65,5,9,9,Singapore,56.42
429,ZetaGaming,Telemedicine solution in the HealthTech space,HealthTech,Telemedicine,B2C Subscription,Series B,68.22,574.54,647.13,9.15,91,5,94.61,9.88,7,2,5,Netherlands,59.01
430,DeltaLogistics,Wind solution in the CleanTech space,CleanTech,Wind,B2C Subscription,Seed,9.85,79.17,91.85,23.96,19,4.5,96.44,7.06,4,6,2,Australia,48.61
431,PioneerFoods,Payments solution in the FinTech space,FinTech,Payments,Freemium SaaS,Series A,48.32,221.72,115.68,20.71,41,4,82.18,14.98,9,3,8,USA,57.93
432,FusionFinance,Precision Farming solution in the Agritech space,Agritech,Precision Farming,Hybrid,Seed,3.4,105.53,95.32,24.94,17,0.5,19.22,5.94,9,3,10,UK,64.13
433,ApexMobility,K-12 solution in the EdTech space,EdTech,K-12,Hybrid,Series B,103.37,507.03,610.71,20.58,118,6.6,107.6,7.27,9,7,7,Netherlands,51.1
434,ApexBiotech,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,Marketplace,Seed,1.75,99.72,178.59,6.27,21,5,104,14.87,3,3,7,Netherlands,67.99
435,FusionBiotech,Ag Robotics solution in the Agritech space,Agritech,Ag Robotics,Freemium SaaS,Series A,5.72,367.78,410.79,20.04,48,8.9,97.87,12.32,9,4,4,Germany,46.11
436,QuantumDynamics,Game Engines solution in the Gaming space,Gaming,Game Engines,Freemium SaaS,Series A,15.21,207.91,294.1,9.1,44,7.4,53.65,2.12,3,9,9,Singapore,61.13
437,FusionGaming,Wearables solution in the HealthTech space,HealthTech,Wearables,Hybrid,Series A,22.91,409.81,516.42,14.42,51,6.4,173.86,9.58,7,9,5,Australia,47.96
438,AlphaLogistics,Payments solution in the FinTech space,FinTech,Payments,B2C Subscription,Pre-Seed,3.09,8.2,81.06,19.08,12,2.2,56.15,11.57,1,4,5,UK,66.13
439,EpsilonHealth,Social Commerce solution in the E-commerce space,E-commerce,Social Commerce,Freemium SaaS,Series A,5.7,238.95,281.88,-4.94,46,3.4,116.16,14.78,4,9,1,Singapore,46.73
440,SparkCloud,EV solution in the Mobility space,Mobility,EV,B2C Subscription,Series A,3.67,338.95,351.22,22.6,38,9.1,14.69,9.75,9,7,4,Israel,40.28
441,ApexLogistics,Marketplace solution in the E-commerce space,E-commerce,Marketplace,Hardware,Series C,28.24,1034.16,1234.04,27.05,236,4.9,124.81,9.08,6,9,1,USA,44.12
